product_id,product_name,category,subcategory,price,cost,margin,rating,stock
1,P-00001,Apparel,Men,99.21,47.1,0.525,4.21,353
2,P-00002,Beauty,Makeup,3.74,2.19,0.414,4.05,1052
3,P-00003,Beauty,Makeup,28.55,20.14,0.295,4.66,1116
4,P-00004,Apparel,Women,11.56,6.11,0.471,4.39,1789
5,P-00005,Toys,Educational,38.08,22.8,0.401,4.92,1863
6,P-00006,Sports,Outdoor,23.76,10.21,0.57,4.87,1044
7,P-00007,Sports,Fitness,32.09,19.95,0.378,4.05,1359
8,P-00008,Apparel,Men,8.13,4.57,0.438,4.67,1897
9,P-00009,Beauty,Makeup,32.43,15.75,0.514,2.64,1605
10,P-00010,Electronics,Phones,24.24,12.37,0.49,3.26,600
11,P-00011,Sports,Fitness,15.37,6.64,0.568,3.57,1331
12,P-00012,Beauty,Hair,95.06,53.55,0.437,3.75,725
13,P-00013,Home,Furniture,19.04,12.64,0.336,4.7,378
14,P-00014,Electronics,Phones,20.98,13.94,0.336,4.24,1638
15,P-00015,Apparel,Kids,65.42,43.57,0.334,3.81,1810
16,P-00016,Toys,Outdoor,17.53,13.43,0.234,2.67,515
17,P-00017,Outdoors,Camping,15.7,7.67,0.511,3.71,849
18,P-00018,Apparel,Kids,45.16,32.5,0.28,4.3,542
19,P-00019,Electronics,Accessories,36.63,17.13,0.532,4.98,1196
20,P-00020,Outdoors,Camping,21.28,10.15,0.523,2.83,227
21,P-00021,Home,Kitchen,17.86,7.42,0.585,3.89,643
22,P-00022,Outdoors,Boating,92.08,66.97,0.273,2.91,200
23,P-00023,Home,Kitchen,24.42,16.26,0.334,2.74,389
24,P-00024,Electronics,Computers,50.69,35.41,0.301,2.88,134
25,P-00025,Electronics,Computers,30.41,19.77,0.35,2.66,1075
26,P-00026,Electronics,Phones,36.1,23.21,0.357,4.49,1698
27,P-00027,Apparel,Kids,61.28,43.18,0.295,2.77,984
28,P-00028,Beauty,Skin,13.36,6.78,0.493,3.81,218
29,P-00029,Apparel,Kids,37.15,25.68,0.309,2.54,580
30,P-00030,Electronics,Phones,78.75,46.2,0.413,2.69,999
31,P-00031,Home,Decor,49.2,31.02,0.37,2.88,1755
32,P-00032,Electronics,Computers,33.94,17.13,0.495,4.29,138
33,P-00033,Electronics,Phones,11.52,7.82,0.321,4.49,177
34,P-00034,Beauty,Skin,29.63,14.36,0.515,4.49,1176
35,P-00035,Electronics,Audio,8.66,5.64,0.349,3.93,44
36,P-00036,Apparel,Men,92.16,48.61,0.473,4.47,1610
37,P-00037,Home,Decor,16.83,8.99,0.466,4.88,718
38,P-00038,Beauty,Makeup,23.15,11.35,0.51,3.47,1657
39,P-00039,Outdoors,Camping,5.37,2.31,0.57,4.29,882
40,P-00040,Outdoors,Gardening,9.79,7.36,0.248,4.63,1114
41,P-00041,Apparel,Men,43.37,27.69,0.362,4.17,1858
42,P-00042,Electronics,Computers,25.1,11.22,0.553,4.01,1347
43,P-00043,Home,Furniture,26.6,14.57,0.452,3.48,1676
44,P-00044,Books,Education,37.42,23.12,0.382,2.81,475
45,P-00045,Beauty,Hair,11.15,5.72,0.487,3.24,806
46,P-00046,Toys,Educational,14.3,9.89,0.308,2.72,477
47,P-00047,Books,Education,155.62,109.58,0.296,2.7,1268
48,P-00048,Books,Education,41.05,18.8,0.542,2.71,1043
49,P-00049,Electronics,Accessories,8.18,6.25,0.236,3.62,1729
50,P-00050,Sports,TeamSport,16.36,11.61,0.29,3.96,861
51,P-00051,Beauty,Hair,26.25,11.85,0.549,3.79,1770
52,P-00052,Outdoors,Camping,97.41,52.81,0.458,3.19,1206
53,P-00053,Beauty,Skin,25.97,15.65,0.397,3.68,821
54,P-00054,Toys,Educational,198.34,116.43,0.413,4.24,957
55,P-00055,Apparel,Kids,26.93,18.26,0.322,3.63,1968
56,P-00056,Home,Furniture,71.81,39.25,0.453,3.55,662
57,P-00057,Beauty,Hair,18.28,11.83,0.353,4.96,1354
58,P-00058,Toys,Outdoor,51.37,27.93,0.456,2.6,1456
59,P-00059,Apparel,Men,47.78,23.29,0.513,3.56,683
60,P-00060,Books,Education,77.27,31.27,0.595,3.34,254
61,P-00061,Outdoors,Camping,365.45,194.39,0.468,2.69,1394
62,P-00062,Toys,Educational,51.62,28.88,0.441,4.92,1535
63,P-00063,Sports,TeamSport,15.25,10.8,0.292,2.71,369
64,P-00064,Electronics,Phones,60.5,46.32,0.234,3.86,1243
65,P-00065,Toys,Educational,37.92,25.85,0.318,3.95,311
66,P-00066,Electronics,Audio,23.85,11.24,0.529,3.21,269
67,P-00067,Sports,TeamSport,34.97,20.62,0.41,2.76,167
68,P-00068,Sports,Fitness,66.74,39.46,0.409,4.76,1350
69,P-00069,Sports,Outdoor,102.37,57.25,0.441,2.87,216
70,P-00070,Electronics,Audio,105.25,47.37,0.55,2.88,671
71,P-00071,Electronics,Accessories,57.3,28.72,0.499,3.38,1332
72,P-00072,Sports,Fitness,31.49,17.57,0.442,2.87,439
73,P-00073,Beauty,Makeup,116.32,56.25,0.516,4.36,255
74,P-00074,Home,Furniture,82.45,44.85,0.456,4.53,334
75,P-00075,Home,Furniture,41.43,25.03,0.396,4.65,246
76,P-00076,Books,Fiction,55.1,42.91,0.221,2.86,1272
77,P-00077,Books,Nonfiction,65.78,31.21,0.526,2.71,1644
78,P-00078,Sports,Outdoor,12.24,9.11,0.256,3.75,1580
79,P-00079,Books,Fiction,56.86,36.58,0.357,4.95,208
80,P-00080,Electronics,Audio,23.77,15.54,0.346,3.82,662
81,P-00081,Beauty,Skin,62.91,49.3,0.216,4.97,1680
82,P-00082,Sports,Outdoor,11.6,8.21,0.292,4.82,912
83,P-00083,Apparel,Men,4.84,2.44,0.496,4.54,889
84,P-00084,Apparel,Women,130.0,67.67,0.479,3.37,1389
85,P-00085,Home,Kitchen,44.53,30.96,0.305,4.86,1495
86,P-00086,Electronics,Audio,24.9,16.59,0.334,3.16,189
87,P-00087,Books,Nonfiction,42.05,20.09,0.522,3.4,233
88,P-00088,Home,Furniture,21.17,11.08,0.477,4.8,207
89,P-00089,Electronics,Accessories,15.25,10.28,0.326,4.89,580
90,P-00090,Sports,Outdoor,7.59,5.35,0.295,3.89,758
91,P-00091,Apparel,Women,26.29,18.14,0.31,4.36,941
92,P-00092,Home,Decor,49.02,28.59,0.417,4.12,1433
93,P-00093,Outdoors,Boating,34.07,24.35,0.285,4.96,1519
94,P-00094,Home,Decor,34.13,16.89,0.505,4.91,188
95,P-00095,Sports,Fitness,11.91,6.64,0.442,3.7,1960
96,P-00096,Outdoors,Boating,20.31,13.54,0.333,4.52,1411
97,P-00097,Books,Fiction,127.12,83.55,0.343,4.48,1281
98,P-00098,Beauty,Hair,133.97,68.83,0.486,3.22,1511
99,P-00099,Electronics,Phones,70.95,42.08,0.407,4.15,116
100,P-00100,Home,Decor,21.29,10.83,0.491,3.14,1840
101,P-00101,Electronics,Audio,71.76,30.12,0.58,4.86,1249
102,P-00102,Apparel,Women,22.01,14.58,0.338,3.27,91
103,P-00103,Outdoors,Gardening,107.93,70.57,0.346,2.6,392
104,P-00104,Electronics,Audio,54.5,25.63,0.53,2.74,1049
105,P-00105,Outdoors,Gardening,52.16,36.06,0.309,3.14,124
106,P-00106,Toys,Outdoor,97.96,76.81,0.216,2.97,1170
107,P-00107,Apparel,Men,9.2,7.06,0.233,4.99,730
108,P-00108,Beauty,Hair,19.79,11.62,0.413,3.55,774
109,P-00109,Beauty,Hair,51.04,27.57,0.46,3.27,1293
110,P-00110,Beauty,Skin,69.56,36.98,0.468,3.99,827
111,P-00111,Electronics,Computers,24.83,19.27,0.224,2.63,712
112,P-00112,Sports,TeamSport,27.65,15.41,0.443,4.72,417
113,P-00113,Books,Nonfiction,36.96,17.21,0.534,3.42,1504
114,P-00114,Outdoors,Boating,5.82,4.14,0.289,3.86,1867
115,P-00115,Apparel,Kids,142.84,90.31,0.368,2.57,1937
116,P-00116,Books,Nonfiction,14.33,9.48,0.338,2.51,1265
117,P-00117,Outdoors,Boating,16.47,9.9,0.399,4.25,1795
118,P-00118,Electronics,Phones,24.33,16.48,0.323,3.8,1098
119,P-00119,Electronics,Accessories,23.58,15.7,0.334,3.43,1537
120,P-00120,Home,Decor,58.1,29.5,0.492,3.45,710
121,P-00121,Outdoors,Boating,30.88,24.57,0.204,3.57,149
122,P-00122,Sports,TeamSport,58.6,37.37,0.362,4.18,1282
123,P-00123,Beauty,Makeup,20.72,8.46,0.592,4.99,464
